year,state,all_death,nat_death,syn_death,methad_death,heroin_death,presc_rate,treat_fac,uninsur,uninsur_rate,insur,insur_rate,labor_force,employed,employed_rate,unemployed,unemployed_rate,poverty,poverty_rate,median_income
2006,South Dakota,23,18,NA,NA,NA,50,51,89706,13.3,582740,86.7,435019,421488,96.26818181818182,13531,3.73181818181818,102589,13.6,42432
2006,Tennessee,470,221,64,183,NA,124.8,157,842331,15.9,4470523,84.1,3036029,2878454,93.86947368421053,157575,6.13052631578947,947105,16.1,40368
2006,Texas,1067,564,111,223,212,66.8,430,5854743,27.6,15378297,72.4,11328001,10774491,95.20275590551182,553510,4.79724409448818,3862741,16.9,44943
2006,Utah,331,192,38,109,46,87,102,400573,16.7,1996284,83.3,1318455,1279332,96.6,39123,3.4,269611,10.7,51373
2006,Vermont,57,24,15,27,NA,56.9,31,68944,12.9,465412,87.1,356997,343865,96.08571428571429,13132,3.91428571428571,61694,10.2,47778
2006,Virginia,408,168,63,113,71,67.2,105,1034424,15.5,5647590,84.5,3978654,3855644,96.25563909774436,123010,3.74436090225563,713181,9.6,56297
2006,Washington,661,263,51,337,54,80.8,379,801215,14.2,4838782,85.8,3323935,3156625,93.68974358974359,167310,6.31025641025641,736907,11.8,52571
2006,West Virginia,285,155,50,104,NA,129.9,60,275611,18.1,1243367,81.9,806171,766403,94.54,39768,5.46,310842,17.6,35028
2006,Wisconsin,334,159,56,116,28,64.7,198,474052,9.9,4329924,90.1,3058940,2914152,94.79444444444445,144788,5.20555555555555,589377,10.9,48784
2006,Wyoming,14,NA,NA,NA,NA,79.9,44,74486,16.5,378317,83.5,281250,272339,96.73478260869567,8911,3.26521739130434,51728,10.3,47819
2007,Alabama,165,66,21,86,NA,120.3,94,579599,14.6,3398728,85.4,2175614,2089131,95.1,86483,4.9,750197,16.6,40596
2007,Alaska,15,NA,NA,NA,NA,66.6,55,120729,19.4,500894,80.6,350786,328579,91.57037037037037,22207,8.42962962962963,65266,9.8,62854
2007,Arizona,461,218,38,81,51,77.8,145,1165954,21.1,4371395,78.9,3034015,2917116,94.56666666666666,116899,5.43333333333333,876120,14.1,49923
2007,Arkansas,148,87,27,63,NA,108.2,36,479294,19.9,1931902,80.1,1369289,1296573,93.95066666666668,72716,6.04933333333333,483510,17.6,38239
2007,California,1657,917,138,312,291,53.6,1512,6465408,20.2,25603021,79.8,17893090,16931594,93.21551724137932,961496,6.78448275862068,4445392,12.4,59928
2007,Colorado,353,185,44,58,39,65.9,364,787080,18,3591266,82,2664682,2565220,96.43125,99462,3.56875,548520,11.5,55517
2007,Connecticut,244,33,22,57,118,67.5,170,325910,10.8,2681750,89.2,1856200,1773156,95.625,83044,4.375,269045,7.9,65969
2007,Delaware,45,12,NA,18,10,92.3,29,92616,12.4,653738,87.6,443573,428312,96.56666666666666,15261,3.43333333333333,86653,10.3,55988
2007,District of Columbia,29,NA,NA,NA,NA,41.2,39,61680,11.9,456576,88.1,322237,304426,94.5,17811,5.5,95441,17.1,54812
2007,Florida,1473,769,137,568,78,82.2,469,3615358,24.2,11306112,75.8,9157134,8789775,95.8134328358209,367359,4.1865671641791,2167111,12.1,47804
2007,Georgia,385,139,65,168,11,82.5,158,1632316,19,6964411,81,4815821,4597638,94.99874213836478,218183,5.00125786163522,1329161,14.3,49080
2007,Hawaii,78,49,NA,20,NA,44.5,109,96622,9,977283,91,638395,620535,97.05,17860,2.95,106232,8.5,62613
2007,Idaho,62,32,10,23,NA,78.8,58,225232,17.1,1095423,82.9,754436,731235,96.57272727272728,23201,3.42727272727272,177830,12.1,46136
2007,Illinois,691,144,101,98,63,59.2,566,1670278,14.9,9572453,85.1,6665612,6334013,94.82352941176471,331599,5.17647058823529,1496152,11.9,54141
2007,Indiana,241,81,51,79,18,99.7,290,715766,13,4788956,87,3207691,3061042,95.29239130434783,146649,4.70760869565217,755245,12.3,47422
2007,Iowa,107,53,18,37,NA,57.1,89,274879,10.8,2260811,89.2,1660676,1599332,96.15050505050506,61344,3.84949494949494,316303,11,47324
2007,Kansas,117,57,19,45,NA,80.6,204,330694,13.7,2076998,86.3,1483464,1420452,96.19333333333334,63012,3.80666666666666,301826,11.2,47341
2007,Kentucky,343,184,37,155,NA,130.8,267,602995,16.5,3043340,83.5,2032100,1922223,93.85666666666667,109877,6.14333333333333,706947,17.2,40299
2007,Louisiana,212,88,21,106,NA,110.1,117,871231,22.8,2945050,77.2,2030438,1944041,94.984375,86397,5.015625,783922,18.8,40866
2007,Maine,102,53,NA,45,NA,85.4,177,119750,10.8,985920,89.2,700444,667771,94.6625,32673,5.3375,155764,12.2,45832
2007,Maryland,600,132,35,201,129,63.3,310,714982,14.5,4217733,85.5,2970092,2867347,96.2125,102745,3.7875,455601,8.3,67989
2007,Massachusetts,649,170,74,125,68,68.2,219,435894,7.8,5163141,92.2,3426002,3268097,95.53571428571429,157905,4.46428571428571,621561,10,62383
2007,Michigan,506,182,71,153,114,85.6,462,1042613,12.1,7577395,87.9,5011123,4658943,91.95060240963856,352180,8.04939759036144,1370287,13.9,47931
2007,Minnesota,180,81,25,55,NA,53.7,250,436345,9.6,4109514,90.4,2906398,2773708,94.83563218390805,132690,5.16436781609195,481330,9.5,55664
2007,Mississippi,95,45,22,31,NA,109.9,80,519312,20.5,2008279,79.5,1303519,1224062,92.85365853658537,79457,7.14634146341463,583360,20.7,36424
2007,Missouri,390,172,70,89,67,84.3,216,716596,14.2,4326201,85.8,3034582,2879652,94.66869565217392,154930,5.33130434782608,758844,13.3,45012
2007,Montana,62,25,NA,27,NA,81.1,39,153907,18.9,662237,81.1,502072,484194,96.15535714285716,17878,3.84464285714285,131433,14.1,43000
2007,Nebraska,39,23,NA,13,NA,65.1,87,209111,13.7,1319705,86.3,978769,949493,97.12580645161292,29276,2.87419354838709,190463,11.1,47072
2007,Nevada,376,187,23,124,42,90.2,50,472055,20.7,1804594,79.3,1330399,1270575,95.47058823529412,59824,4.52941176470588,267829,10.6,54996
2007,New Hampshire,145,54,16,65,NA,78.5,38,135552,11.9,1006955,88.1,737936,712007,96.5,25929,3.5,93005,7.3,62048
2007,New Jersey,339,134,33,78,103,57.2,277,1228822,16.4,6268603,83.6,4441800,4251816,95.57142857142858,189984,4.42857142857142,725723,8.5,67142
2007,New Mexico,266,175,19,52,28,69,72,450870,26.7,1240130,73.3,934029,898998,95.95454545454547,35031,4.04545454545454,344060,17.9,41509
2007,New York,1029,394,113,295,195,46.1,895,2541757,15.2,14162235,84.8,9522064,9088212,95.29516129032258,433852,4.70483870967742,2584756,13.8,53448
2007,North Carolina,750,304,112,333,50,87.5,301,1453309,18.2,6520800,81.8,4512865,4300308,94.851,212557,5.149,1256867,14.3,44772
2007,North Dakota,17,NA,NA,NA,NA,59.3,56,71997,13.3,468528,86.7,367236,355768,96.27358490566039,11468,3.72641509433962,72242,11.8,43936
2007,Ohio,705,284,109,194,156,92.7,347,1182044,12,8644494,88,5990296,5657721,94.04886363636363,332575,5.95113636363636,1458625,13.1,46645
2007,Oklahoma,492,284,67,181,NA,114.4,147,598090,19.4,2479408,80.6,1726260,1655494,95.88441558441559,70766,4.11558441558441,552915,15.8,41551
2007,Oregon,358,94,18,138,110,95.5,192,608893,18.8,2629821,81.2,1921771,1822775,94.31111111111112,98996,5.68888888888888,476647,13,48735
2007,Pennsylvania,492,214,83,124,86,73.7,413,1167286,11.2,9255216,88.8,6343004,6064067,95.28059701492538,278937,4.71940298507462,1392872,11.6,48562
2007,Rhode Island,87,17,NA,29,NA,82.2,46,105801,11.8,791603,88.2,573173,543401,95.22,29772,4.78,121172,11.9,52755
2007,South Carolina,199,112,35,59,NA,91.7,80,694350,18.2,3129556,81.8,2125896,2005687,92.98260869565217,120209,7.01739130434782,646061,15.1,43508
2007,South Dakota,20,11,NA,NA,NA,49.9,51,91620,13.6,583400,86.4,442510,430018,96.55,12492,3.45,101420,13.2,43507
2007,Tennessee,479,236,84,159,NA,128.8,158,857289,16.1,4478200,83.9,3063676,2920357,94.50526315789475,143319,5.49473684210526,945263,15.8,42389
2007,Texas,1021,515,118,195,214,71.2,435,5765132,26.8,15739550,73.2,11431664,10941425,95.78897637795276,490239,4.21102362204724,3787071,16.3,47563
2007,Utah,359,238,33,87,51,89.8,112,388199,15.7,2082765,84.3,1359136,1324060,97.03448275862068,35076,2.96551724137931,254385,9.8,55220
2007,Vermont,52,28,15,17,NA,56,31,60093,11.3,471721,88.7,353731,339559,95.61428571428571,14172,4.38571428571428,60609,10.1,49698
2007,Virginia,502,216,68,142,95,70.1,108,1014834,15.1,5720662,84.9,4036854,3914094,96.28195488721805,122760,3.71804511278195,739135,9.9,59575
2007,Washington,651,276,37,277,75,84.4,391,749936,13.2,4944059,86.8,3403169,3243308,93.90256410256411,159861,6.09743589743589,722589,11.4,55628
2007,West Virginia,332,177,80,93,21,135.1,63,251709,16.7,1254504,83.3,811164,773993,94.8618181818182,37171,5.13818181818181,302169,17.1,37057
2007,Wisconsin,371,180,55,140,34,69.2,207,466930,9.7,4363319,90.3,3087841,2936459,94.6138888888889,151382,5.38611111111111,589168,10.8,50567
2007,Wyoming,25,NA,NA,NA,NA,80.8,44,72186,15.7,387893,84.3,286558,278485,97.07826086956521,8073,2.92173913043478,48149,9.5,52433
2008,Alabama,185,73,19,101,NA,126.1,92,600542,15.3,3314761,84.7,2176491,2053479,93.02388059701494,123012,6.97611940298507,721875,15.9,42586
2008,Alaska,88,51,13,30,NA,68.5,54,128812,20.5,498724,79.5,356111,332288,91.18518518518519,23823,8.81481481481481,61871,9.2,67332
2008,Arizona,494,255,49,89,63,80.9,137,1138508,20.5,4402663,79.5,3104864,2913905,91.88666666666667,190959,8.11333333333333,935247,14.7,51009
2008,Arkansas,197,110,43,89,NA,112.1,41,472500,19.8,1910830,80.2,1375263,1300020,93.79333333333334,75243,6.20666666666666,479140,17.3,38820
2008,California,1801,1082,155,337,325,55.1,1499,6166623,19.2,25958883,80.8,18178125,16854483,91.36206896551725,1323642,8.63793103448275,4781201,13.3,61017
2008,Colorado,355,176,39,48,48,67.7,368,785439,18.1,3555985,81.9,2716628,2585246,95.3953125,131382,4.6046875,540845,11.2,57184
2008,Connecticut,230,38,16,47,109,68.7,158,298164,10.1,2643639,89.9,1881454,1774680,94.4625,106774,5.5375,308479,9.1,68294
2008,Delaware,65,29,NA,18,NA,95.4,34,85208,11.7,645839,88.3,447043,424915,95.03333333333335,22128,4.96666666666666,87977,10.3,58380
2008,District of Columbia,31,NA,NA,NA,NA,34.5,39,42390,8.6,450753,91.4,330544,309192,93.5,21352,6.5,95232,16.9,58553
2008,Florida,1478,858,132,463,108,84.3,477,3581341,24.2,11207569,75.8,9215533,8637169,93.5268656716418,578364,6.4731343283582,2375225,13.3,47802
2008,Georgia,404,193,57,138,23,86.3,161,1700333,20.1,6755261,79.9,4879258,4575008,93.10503144654088,304250,6.89496855345912,1388959,14.7,50834
2008,Hawaii,53,34,NA,10,NA,46.6,114,85490,7.7,1019478,92.3,639691,612120,95.125,27571,4.875,116618,9.3,66701
